Unnamed: 0,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combined_information
1527.0,Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,Adventure Animation Comedy Family Fantasy,Thunder and the House of Magic,Kyle Hebert Brianne Brozey Joe Ochman Jeremy Degruson Adventure Animation Comedy Family Fantasy
1528.0,Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,Action Adventure Horror Sci-Fi Thriller,The Darkest Hour,Max Minghella Veronika Vernadskaya Dato Bakhtadze Chris Gorak Action Adventure Horror Sci-Fi Thriller
1529.0,Scott Speer,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,Drama Music Romance,Step Up Revolution,Ryan Guzman Stephen Boss Misha Gabriel Hamilton Scott Speer Drama Music Romance
1531.0,Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,Crime Horror Mystery Thriller,The Watcher,Keanu Reeves Joseph Sikora Chris Ellis Joe Charbanic Crime Horror Mystery Thriller
1532.0,Jonathan Hensleigh,Laura Harring,Marco St. John,Eddie Jemison,Action Crime Drama Thriller,The Punisher,Laura Harring Marco St. John Eddie Jemison Jonathan Hensleigh Action Crime Drama Thriller
1533.0,Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,Drama Romance Sport,Goal! The Dream Begins,Sean Pertwee Kuno Becker Stephen Dillane Danny Cannon Drama Romance Sport
1534.0,Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,Action Crime Thriller,Safe,Jason Statham Reggie Lee Robert John Burke Boaz Yakin Action Crime Thriller
1535.0,Mike Newell,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,Comedy Drama Romance,Pushing Tin,Angelina Jolie Pitt Kurt Fuller Jake Weber Mike Newell Comedy Drama Romance
1536.0,Richard Marquand,Harrison Ford,Ian McDiarmid,Kenny Baker,Action Adventure Fantasy Sci-Fi,Star Wars: Episode VI - Return of the Jedi,Harrison Ford Ian McDiarmid Kenny Baker Richard Marquand Action Adventure Fantasy Sci-Fi
1537.0,Neil Marshall,Ryan Kruger,Jason Cope,Jeremy Crutchley,Action Sci-Fi Thriller,Doomsday,Ryan Kruger Jason Cope Jeremy Crutchley Neil Marshall Action Sci-Fi Thriller
1538.0,Stephen Daldry,Kate Winslet,David Kross,Susanne Lothar,Drama Romance,The Reader,Kate Winslet David Kross Susanne Lothar Stephen Daldry Drama Romance
1539.0,David Wain,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,Comedy,Wanderlust,Justin Theroux Lauren Ambrose Joe Lo Truglio David Wain Comedy
1540.0,Jon Favreau,Peter Dinklage,Zooey Deschanel,Will Ferrell,Comedy Family Fantasy Romance,Elf,Peter Dinklage Zooey Deschanel Will Ferrell Jon Favreau Comedy Family Fantasy Romance
1541.0,Jon Turteltaub,Robert Duvall,Kyra Sedgwick,David Gallagher,Drama Fantasy Romance Sci-Fi,Phenomenon,Robert Duvall Kyra Sedgwick David Gallagher Jon Turteltaub Drama Fantasy Romance Sci-Fi
1542.0,Brian Levant,James Coburn,Nichelle Nichols,M. Emmet Walsh,Adventure Comedy Family Sport,Snow Dogs,James Coburn Nichelle Nichols M. Emmet Walsh Brian Levant Adventure Comedy Family Sport
1543.0,Richard Donner,Bill Murray,Alfre Woodard,Robert Mitchum,Comedy Drama Fantasy,Scrooged,Bill Murray Alfre Woodard Robert Mitchum Richard Donner Comedy Drama Fantasy
1544.0,Jared Hess,Ana de la Reguera,Moises Arias,Héctor Jiménez,Comedy Family Sport,Nacho Libre,Ana de la Reguera Moises Arias Héctor Jiménez Jared Hess Comedy Family Sport
1545.0,Paul Feig,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,Comedy Romance,Bridesmaids,Matt Lucas Wendi McLendon-Covey Steve Bannos Paul Feig Comedy Romance
1546.0,Evan Goldberg,Channing Tatum,James Franco,Emma Watson,Comedy Fantasy,This Is the End,Channing Tatum James Franco Emma Watson Evan Goldberg Comedy Fantasy
1547.0,Rupert Wainwright,Nia Long,Enrico Colantoni,Portia de Rossi,Horror,Stigmata,Nia Long Enrico Colantoni Portia de Rossi Rupert Wainwright Horror
1548.0,George Tillman Jr.,Robert De Niro,Charlize Theron,Michael Rapaport,Biography Drama,Men of Honor,Robert De Niro Charlize Theron Michael Rapaport George Tillman Jr. Biography Drama
1549.0,John Luessenhop,Paul Walker,Hayden Christensen,Jay Hernandez,Action Crime Thriller,Takers,Paul Walker Hayden Christensen Jay Hernandez John Luessenhop Action Crime Thriller
1550.0,Justin Zackham,Robin Williams,Robert De Niro,Topher Grace,Comedy,The Big Wedding,Robin Williams Robert De Niro Topher Grace Justin Zackham Comedy
1551.0,John Whitesell,Brandon T. Jackson,Tony Curran,Portia Doubleday,Action Comedy Crime,"Big Mommas: Like Father, Like Son",Brandon T. Jackson Tony Curran Portia Doubleday John Whitesell Action Comedy Crime
1552.0,Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,Mystery Sci-Fi Thriller,Source Code,Jake Gyllenhaal Cas Anvar Russell Peters Duncan Jones Mystery Sci-Fi Thriller
1553.0,Frank Marshall,Illeana Douglas,Danny Nucci,Michael DeLorenzo,Adventure Biography Drama Thriller,Alive,Illeana Douglas Danny Nucci Michael DeLorenzo Frank Marshall Adventure Biography Drama Thriller
1554.0,Joel Schumacher,Logan Lerman,Virginia Madsen,Ed Lauter,Mystery Thriller,The Number 23,Logan Lerman Virginia Madsen Ed Lauter Joel Schumacher Mystery Thriller
1555.0,Jean-Pierre Jeunet,Callum Rennie,Julian Richings,Judy Davis,Action Adventure Drama Family,The Young and Prodigious T.S. Spivet,Callum Rennie Julian Richings Judy Davis Jean-Pierre Jeunet Action Adventure Drama Family
1556.0,Steven Spielberg,Christopher Lee,John Belushi,Treat Williams,Action Comedy War,1941,Christopher Lee John Belushi Treat Williams Steven Spielberg Action Comedy War
1557.0,John Gatins,Ken Howard,Freddy Rodríguez,Holmes Osborne,Drama Family Sport,Dreamer: Inspired by a True Story,Ken Howard Freddy Rodríguez Holmes Osborne John Gatins Drama Family Sport
1558.0,David Cronenberg,Viggo Mortensen,Kyle Schmid,William Hurt,Crime Drama Thriller,A History of Violence,Viggo Mortensen Kyle Schmid William Hurt David Cronenberg Crime Drama Thriller
1559.0,Louis Leterrier,Jason Statham,Jason Flemyng,Matthew Modine,Action Crime Thriller,Transporter 2,Jason Statham Jason Flemyng Matthew Modine Louis Leterrier Action Crime Thriller
1560.0,Sam Raimi,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,Action Thriller Western,The Quick and the Dead,Leonardo DiCaprio Pat Hingle Roberts Blossom Sam Raimi Action Thriller Western
1561.0,Peter Howitt,Frances Fisher,Mike Doyle,Nora Dunn,Comedy Romance,Laws of Attraction,Frances Fisher Mike Doyle Nora Dunn Peter Howitt Comedy Romance
1562.0,Martin Scorsese,Nicolas Cage,Marc Anthony,Sonja Sohn,Drama Thriller,Bringing Out the Dead,Nicolas Cage Marc Anthony Sonja Sohn Martin Scorsese Drama Thriller
1563.0,Miguel Sapochnik,Alice Braga,RZA,Yvette Nicole Brown,Action Crime Sci-Fi Thriller,Repo Men,Alice Braga RZA Yvette Nicole Brown Miguel Sapochnik Action Crime Sci-Fi Thriller
1564.0,Hyung-rae Shim,Robert Forster,Aimee Garcia,Chris Mulkey,Action Drama Fantasy Horror Thriller,Dragon Wars: D-War,Robert Forster Aimee Garcia Chris Mulkey Hyung-rae Shim Action Drama Fantasy Horror Thriller
1565.0,Norman Jewison,Haley Joel Osment,Nancy Travis,Andrea Martin,Comedy Family Fantasy,Bogus,Haley Joel Osment Nancy Travis Andrea Martin Norman Jewison Comedy Family Fantasy
1566.0,Don Scardino,Steve Buscemi,Olivia Wilde,Steve Carell,Comedy,The Incredible Burt Wonderstone,Steve Buscemi Olivia Wilde Steve Carell Don Scardino Comedy
1567.0,Mark Dindal,George Kennedy,Frank Welker,Hal Holbrook,Animation Comedy Family Fantasy Musical,Cats Don't Dance,George Kennedy Frank Welker Hal Holbrook Mark Dindal Animation Comedy Family Fantasy Musical
1568.0,Tim Robbins,Bill Murray,Vanessa Redgrave,Emily Watson,Drama,Cradle Will Rock,Bill Murray Vanessa Redgrave Emily Watson Tim Robbins Drama
1569.0,Steven Soderbergh,Tony Curran,Beau Bridges,Leland Orser,Drama Mystery Thriller,The Good German,Tony Curran Beau Bridges Leland Orser Steven Soderbergh Drama Mystery Thriller
1570.0,Tom Reeve,Joan Plowright,Rollo Weeks,Simon Callow,Action Adventure Comedy Fantasy Romance,George and the Dragon,Joan Plowright Rollo Weeks Simon Callow Tom Reeve Action Adventure Comedy Fantasy Romance
1571.0,Francis Ford Coppola,Harrison Ford,Marlon Brando,Robert Duvall,Drama War,Apocalypse Now,Harrison Ford Marlon Brando Robert Duvall Francis Ford Coppola Drama War
1572.0,Nanette Burstein,Rob Riggle,Kelli Garner,Jim Gaffigan,Comedy Romance,Going the Distance,Rob Riggle Kelli Garner Jim Gaffigan Nanette Burstein Comedy Romance
1573.0,Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,Drama Music,Mr. Holland's Opus,Alicia Witt Olympia Dukakis Jean Louisa Kelly Stephen Herek Drama Music
1574.0,Ariel Vromen,Gary Oldman,Jordi Mollà,Doug Cockle,Action Crime Drama Mystery Sci-Fi Thriller,Criminal,Gary Oldman Jordi Mollà Doug Cockle Ariel Vromen Action Crime Drama Mystery Sci-Fi Thriller
1575.0,Sydney Pollack,Meryl Streep,Michael Gough,Michael Kitchen,Biography Drama Romance,Out of Africa,Meryl Streep Michael Gough Michael Kitchen Sydney Pollack Biography Drama Romance
1576.0,Robert Zemeckis,Denzel Washington,Bruce Greenwood,Nadine Velazquez,Drama Thriller,Flight,Denzel Washington Bruce Greenwood Nadine Velazquez Robert Zemeckis Drama Thriller
1577.0,Lewis Gilbert,Desmond Llewelyn,Lois Chiles,Lois Maxwell,Action Adventure Sci-Fi Thriller,Moonraker,Desmond Llewelyn Lois Chiles Lois Maxwell Lewis Gilbert Action Adventure Sci-Fi Thriller
1578.0,Wes Anderson,Bill Murray,Tom Wilkinson,F. Murray Abraham,Adventure Comedy Crime Drama,The Grand Budapest Hotel,Bill Murray Tom Wilkinson F. Murray Abraham Wes Anderson Adventure Comedy Crime Drama
1579.0,Scott Hicks,Anthony Hopkins,Mika Boorem,Hope Davis,Drama Mystery,Hearts in Atlantis,Anthony Hopkins Mika Boorem Hope Davis Scott Hicks Drama Mystery
1580.0,Frank Marshall,Julian Sands,Peter Jason,Brian McNamara,Comedy Fantasy Horror Thriller,Arachnophobia,Julian Sands Peter Jason Brian McNamara Frank Marshall Comedy Fantasy Horror Thriller
1581.0,Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,Crime Drama Mystery Sci-Fi Thriller,Frequency,Dennis Quaid Andre Braugher Noah Emmerich Gregory Hoblit Crime Drama Mystery Sci-Fi Thriller
1582.0,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,Ghostbusters,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-Fi
1583.0,John Francis Daley,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,Adventure Comedy,Vacation,Chris Hemsworth Norman Reedus Beverly D'Angelo John Francis Daley Adventure Comedy
1584.0,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,Comedy Crime Thriller,Get Shorty,Delroy Lindo Rene Russo Jon Gries Barry Sonnenfeld Comedy Crime Thriller
1585.0,Rob Marshall,Colm Feore,Chita Rivera,Jayne Eastwood,Comedy Crime Musical,Chicago,Colm Feore Chita Rivera Jayne Eastwood Rob Marshall Comedy Crime Musical
1586.0,Dennis Dugan,Steve Buscemi,Adam Sandler,Joey Lauren Adams,Comedy Drama,Big Daddy,Steve Buscemi Adam Sandler Joey Lauren Adams Dennis Dugan Comedy Drama
1587.0,J.B. Rogers,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,American Pie 2,Alyson Hannigan Shannon Elizabeth Natasha Lyonne J.B. Rogers Comedy
1588.0,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,Toy Story,Tom Hanks John Ratzenberger Jim Varney John Lasseter Adventure Animation Comedy Family Fantasy
1589.0,Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,Action Adventure Crime Thriller,Speed,Keanu Reeves Alan Ruck Joe Morton Jan de Bont Action Adventure Crime Thriller
1590.0,Michael Sucsy,Channing Tatum,Lucas Bryant,Dillon Casey,Drama Romance,The Vow,Channing Tatum Lucas Bryant Dillon Casey Michael Sucsy Drama Romance
1591.0,Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck,Drama,Extraordinary Measures,Harrison Ford Brendan Fraser Alan Ruck Tom Vaughan Drama
1592.0,Boaz Yakin,Ryan Gosling,Denzel Washington,Ethan Suplee,Biography Drama Sport,Remember the Titans,Ryan Gosling Denzel Washington Ethan Suplee Boaz Yakin Biography Drama Sport
1593.0,John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance,Action Adventure Thriller,The Hunt for Red October,Scott Glenn Jeffrey Jones Courtney B. Vance John McTiernan Action Adventure Thriller
1594.0,Lee Daniels,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,Biography Drama,Lee Daniels' The Butler,Alex Pettyfer David Oyelowo Vanessa Redgrave Lee Daniels Biography Drama
1596.0,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Carel Struycken,Comedy Fantasy,The Addams Family,Anjelica Huston Raul Julia Carel Struycken Barry Sonnenfeld Comedy Fantasy
1597.0,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure Comedy,Ace Ventura: When Nature Calls,Bruce Spence Bob Gunton Sophie Okonedo Steve Oedekerk Adventure Comedy
1598.0,Garry Marshall,Anne Hathaway,Hector Elizondo,Heather Matarazzo,Comedy Family Romance,The Princess Diaries,Anne Hathaway Hector Elizondo Heather Matarazzo Garry Marshall Comedy Family Romance
1599.0,Hugh Wilson,Stockard Channing,Elizabeth Berkley,Stephen Collins,Comedy,The First Wives Club,Stockard Channing Elizabeth Berkley Stephen Collins Hugh Wilson Comedy
1600.0,David Fincher,Morgan Freeman,Brad Pitt,Reg E. Cathey,Crime Drama Mystery Thriller,Se7en,Morgan Freeman Brad Pitt Reg E. Cathey David Fincher Crime Drama Mystery Thriller
1601.0,Neill Blomkamp,Sharlto Copley,Jed Brophy,Jason Cope,Action Sci-Fi Thriller,District 9,Sharlto Copley Jed Brophy Jason Cope Neill Blomkamp Action Sci-Fi Thriller
1602.0,Stephen Hillenburg,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,Adventure Animation Comedy Family Fantasy,The SpongeBob SquarePants Movie,Scarlett Johansson Bill Fagerbakke Rodger Bumpass Stephen Hillenburg Adventure Animation Comedy Family Fantasy
1603.0,Clint Eastwood,John Doman,Spencer Treat Clark,Tom Guiry,Crime Drama Mystery Thriller,Mystic River,John Doman Spencer Treat Clark Tom Guiry Clint Eastwood Crime Drama Mystery Thriller
1604.0,Clint Eastwood,Clint Eastwood,Morgan Freeman,Mike Colter,Drama Sport,Million Dollar Baby,Clint Eastwood Morgan Freeman Mike Colter Clint Eastwood Drama Sport
1605.0,Harold Ramis,Robert De Niro,Chazz Palminteri,Molly Shannon,Comedy Crime,Analyze This,Robert De Niro Chazz Palminteri Molly Shannon Harold Ramis Comedy Crime
1606.0,Nick Cassavetes,Ryan Gosling,Kevin Connolly,Gena Rowlands,Drama Romance,The Notebook,Ryan Gosling Kevin Connolly Gena Rowlands Nick Cassavetes Drama Romance
1607.0,Anne Fletcher,Judy Greer,Bern Cohen,Yetta Gottesman,Comedy Romance,27 Dresses,Judy Greer Bern Cohen Yetta Gottesman Anne Fletcher Comedy Romance
1608.0,Peter Chelsom,Emily Osment,Vanessa Williams,Moises Arias,Comedy Drama Family Music Romance,Hannah Montana: The Movie,Emily Osment Vanessa Williams Moises Arias Peter Chelsom Comedy Drama Family Music Romance
1609.0,Stig Bergqvist,Elizabeth Daily,Casey Kasem,Debbie Reynolds,Adventure Animation Comedy Family Romance,Rugrats in Paris: The Movie,Elizabeth Daily Casey Kasem Debbie Reynolds Stig Bergqvist Adventure Animation Comedy Family Romance
1610.0,Barbra Streisand,George Carlin,Blythe Danner,Melinda Dillon,Drama Romance,The Prince of Tides,George Carlin Blythe Danner Melinda Dillon Barbra Streisand Drama Romance
1611.0,Edward Zwick,Anthony Hopkins,Brad Pitt,Julia Ormond,Drama Romance War Western,Legends of the Fall,Anthony Hopkins Brad Pitt Julia Ormond Edward Zwick Drama Romance War Western
1612.0,Jason Reitman,J.K. Simmons,Anna Kendrick,Chris Lowell,Drama Romance,Up in the Air,J.K. Simmons Anna Kendrick Chris Lowell Jason Reitman Drama Romance
1613.0,Alexander Payne,Hope Davis,June Squibb,Howard Hesseman,Comedy Drama,About Schmidt,Hope Davis June Squibb Howard Hesseman Alexander Payne Comedy Drama
1614.0,Jonathan Levine,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,Comedy Horror Romance,Warm Bodies,Cory Hardrict Vincent Leclerc Daniel Rindress-Kay Jonathan Levine Comedy Horror Romance
1615.0,Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,Action Crime Drama Sci-Fi Thriller,Looper,Joseph Gordon-Levitt Bruce Willis Tracie Thoms Rian Johnson Action Crime Drama Sci-Fi Thriller
1616.0,Chris Weitz,Chazz Palminteri,Mark Addy,Wanda Sykes,Comedy Fantasy,Down to Earth,Chazz Palminteri Mark Addy Wanda Sykes Chris Weitz Comedy Fantasy
1617.0,Chris Noonan,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,Comedy Drama Family,Babe,Miriam Margolyes Christine Cavanaugh Roscoe Lee Browne Chris Noonan Comedy Drama Family
1618.0,David Frankel,Meryl Streep,Steve Carell,Jean Smart,Comedy Drama Romance,Hope Springs,Meryl Streep Steve Carell Jean Smart David Frankel Comedy Drama Romance
1619.0,Nicholas Stoller,Mila Kunis,Jack McBrayer,Maria Thayer,Comedy Drama Romance,Forgetting Sarah Marshall,Mila Kunis Jack McBrayer Maria Thayer Nicholas Stoller Comedy Drama Romance
1620.0,unknown,Zach Gilford,Aimee Teegarden,Scott Porter,Drama Sport,Friday Night Lights            ,Zach Gilford Aimee Teegarden Scott Porter unknown Drama Sport
1621.0,John Singleton,Josh Charles,Tony Nappo,Fionnula Flanagan,Action Crime Drama Mystery Thriller,Four Brothers,Josh Charles Tony Nappo Fionnula Flanagan John Singleton Action Crime Drama Mystery Thriller
1622.0,Michael McCullers,Tina Fey,Amy Poehler,Romany Malco,Comedy Romance,Baby Mama,Tina Fey Amy Poehler Romany Malco Michael McCullers Comedy Romance
1623.0,Forest Whitaker,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,Drama Romance,Hope Floats,Bill Cobbs Harry Connick Jr. Gena Rowlands Forest Whitaker Drama Romance
1624.0,Gary Winick,Anne Hathaway,Steve Howey,Candice Bergen,Comedy Romance,Bride Wars,Anne Hathaway Steve Howey Candice Bergen Gary Winick Comedy Romance
1625.0,Steven Brill,Antony Starr,Scott Adsit,Bonnie Somerville,Adventure Comedy Mystery,Without a Paddle,Antony Starr Scott Adsit Bonnie Somerville Steven Brill Adventure Comedy Mystery
1626.0,Gary Winick,Jennifer Garner,Judy Greer,Christa B. Allen,Comedy Fantasy Romance,13 Going on 30,Jennifer Garner Judy Greer Christa B. Allen Gary Winick Comedy Fantasy Romance
1627.0,Woody Allen,Kurt Fuller,Audrey Fleurot,Nina Arianda,Comedy Fantasy Romance,Midnight in Paris,Kurt Fuller Audrey Fleurot Nina Arianda Woody Allen Comedy Fantasy Romance
1628.0,Peter Lepeniotis,Liam Neeson,Brendan Fraser,Sarah Gadon,Adventure Animation Comedy Family,The Nut Job,Liam Neeson Brendan Fraser Sarah Gadon Peter Lepeniotis Adventure Animation Comedy Family
1629.0,Ted Demme,Johnny Depp,Ethan Suplee,Jordi Mollà,Biography Crime Drama,Blow,Johnny Depp Ethan Suplee Jordi Mollà Ted Demme Biography Crime Drama
1630.0,Luis Mandoki,Robin Wright,John Savage,Raphael Sbarge,Drama Romance,Message in a Bottle,Robin Wright John Savage Raphael Sbarge Luis Mandoki Drama Romance
1631.0,William Shatner,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi Thriller,Star Trek V: The Final Frontier,Leonard Nimoy Nichelle Nichols Walter Koenig William Shatner Action Adventure Sci-Fi Thriller
1632.0,John Schultz,Brenda Song,Robert Forster,Anne Meara,Comedy Family Fantasy Sport,Like Mike,Brenda Song Robert Forster Anne Meara John Schultz Comedy Family Fantasy Sport
1633.0,Peter Segal,George Kennedy,Fred Ward,Priscilla Presley,Comedy Crime,Naked Gun 33 1/3: The Final Insult,George Kennedy Fred Ward Priscilla Presley Peter Segal Comedy Crime
1634.0,John Glen,Patrick Macnee,Alison Doody,Tanya Roberts,Action Adventure Thriller,A View to a Kill,Patrick Macnee Alison Doody Tanya Roberts John Glen Action Adventure Thriller
1635.0,Steve Box,Mark Gatiss,Geraldine McEwan,Peter Sallis,Animation Comedy Family Mystery Sci-Fi,The Curse of the Were-Rabbit,Mark Gatiss Geraldine McEwan Peter Sallis Steve Box Animation Comedy Family Mystery Sci-Fi
1636.0,Richard LaGravenese,Gerard Butler,Harry Connick Jr.,Nellie McKay,Drama Romance,P.S. I Love You,Gerard Butler Harry Connick Jr. Nellie McKay Richard LaGravenese Drama Romance
1637.0,Frederik Du Chau,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,Adventure Comedy Drama Family Sport,Racing Stripes,Bruce Greenwood Frankie Muniz M. Emmet Walsh Frederik Du Chau Adventure Comedy Drama Family Sport
1638.0,Joe Wright,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,Drama Mystery Romance War,Atonement,Benedict Cumberbatch Alfie Allen Brenda Blethyn Joe Wright Drama Mystery Romance War
1639.0,Gary Winick,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,Comedy Drama Romance,Letters to Juliet,Vanessa Redgrave Marcia DeBonis Luisa Ranieri Gary Winick Comedy Drama Romance
1640.0,Ridley Scott,Stephen Root,Ken Takakura,Kate Capshaw,Action Crime Thriller,Black Rain,Stephen Root Ken Takakura Kate Capshaw Ridley Scott Action Crime Thriller
1641.0,Bobby Farrelly,Kate Upton,Larry David,Sean Hayes,Comedy,The Three Stooges,Kate Upton Larry David Sean Hayes Bobby Farrelly Comedy
1642.0,Tim Burton,Johnny Depp,Christopher Lee,Joanna Lumley,Animation Drama Family Fantasy Musical Romance,Corpse Bride,Johnny Depp Christopher Lee Joanna Lumley Tim Burton Animation Drama Family Fantasy Musical Romance
1643.0,James Gartner,Mehcad Brooks,Austin Nichols,Derek Luke,Biography Drama Sport,Glory Road,Mehcad Brooks Austin Nichols Derek Luke James Gartner Biography Drama Sport
1644.0,Denis Villeneuve,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,Action Crime Drama Mystery Thriller,Sicario,Edgar Arreola Bernardo Saracino Daniel Kaluuya Denis Villeneuve Action Crime Drama Mystery Thriller
1645.0,Antoine Fuqua,Jake Gyllenhaal,50 Cent,Oona Laurence,Drama Sport,Southpaw,Jake Gyllenhaal 50 Cent Oona Laurence Antoine Fuqua Drama Sport
1646.0,Sam Raimi,Bojana Novakovic,Alison Lohman,Reggie Lee,Horror Thriller,Drag Me to Hell,Bojana Novakovic Alison Lohman Reggie Lee Sam Raimi Horror Thriller
1647.0,Lee Toland Krieger,Harrison Ford,Michiel Huisman,Ellen Burstyn,Drama Fantasy Romance,The Age of Adaline,Harrison Ford Michiel Huisman Ellen Burstyn Lee Toland Krieger Drama Fantasy Romance
1648.0,Tim McCanlies,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,Comedy Drama Family,Secondhand Lions,Haley Joel Osment Robert Duvall Emmanuelle Vaugier Tim McCanlies Comedy Drama Family
1649.0,Jon M. Chu,Alyson Stoner,Stephen Boss,Facundo Lombard,Drama Music Romance,Step Up 3D,Alyson Stoner Stephen Boss Facundo Lombard Jon M. Chu Drama Music Romance
1650.0,John Stockwell,Faizon Love,Mika Boorem,Sanoe Lake,Drama Romance Sport,Blue Crush,Faizon Love Mika Boorem Sanoe Lake John Stockwell Drama Romance Sport
1651.0,Marc Forster,Will Ferrell,Christian Stolte,Danny Rhodes,Comedy Drama Fantasy Romance,Stranger Than Fiction,Will Ferrell Christian Stolte Danny Rhodes Marc Forster Comedy Drama Fantasy Romance
1652.0,David Slade,Danny Huston,Mark Rendall,Megan Franich,Horror,30 Days of Night,Danny Huston Mark Rendall Megan Franich David Slade Horror
1653.0,Drew Goddard,Chris Hemsworth,Bradley Whitford,Kristen Connolly,Fantasy Horror Mystery Thriller,The Cabin in the Woods,Chris Hemsworth Bradley Whitford Kristen Connolly Drew Goddard Fantasy Horror Mystery Thriller
1654.0,Jason Friedberg,Carmen Electra,Diedrich Bader,Method Man,Comedy,Meet the Spartans,Carmen Electra Diedrich Bader Method Man Jason Friedberg Comedy
1655.0,Martin Brest,Robert De Niro,Yaphet Kotto,Philip Baker Hall,Action Comedy Crime Thriller,Midnight Run,Robert De Niro Yaphet Kotto Philip Baker Hall Martin Brest Action Comedy Crime Thriller
1656.0,Paul Michael Glaser,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,Action Crime Sci-Fi Thriller,The Running Man,Yaphet Kotto Maria Conchita Alonso Richard Dawson Paul Michael Glaser Action Crime Sci-Fi Thriller
1657.0,Frank Oz,Bill Murray,Jim Belushi,Tisha Campbell-Martin,Comedy Horror Musical Sci-Fi,Little Shop of Horrors,Bill Murray Jim Belushi Tisha Campbell-Martin Frank Oz Comedy Horror Musical Sci-Fi
1658.0,Joe Wright,Jessica Barden,Vicky Krieps,John Macmillan,Action Drama Thriller,Hanna,Jessica Barden Vicky Krieps John Macmillan Joe Wright Action Drama Thriller
1659.0,unknown,Zach Gilford,Joan Allen,Liam James,Drama Mystery,The Family            ,Zach Gilford Joan Allen Liam James unknown Drama Mystery
1660.0,John R. Leonetti,Brian Thompson,Talisa Soto,Robin Shou,Action Adventure Fantasy Sci-Fi Thriller,Mortal Kombat: Annihilation,Brian Thompson Talisa Soto Robin Shou John R. Leonetti Action Adventure Fantasy Sci-Fi Thriller
1661.0,Tom Hanks,Tom Hanks,Rob Riggle,Randall Park,Comedy Drama Romance,Larry Crowne,Tom Hanks Rob Riggle Randall Park Tom Hanks Comedy Drama Romance
1663.0,Liz Friedlander,Alfre Woodard,Yaya DaCosta,Jasika Nicole,Drama Music,Take the Lead,Alfre Woodard Yaya DaCosta Jasika Nicole Liz Friedlander Drama Music
1664.0,unknown,Debi Mazar,Kevin Connolly,Kevin Dillon,Comedy Drama,Entourage            ,Debi Mazar Kevin Connolly Kevin Dillon unknown Comedy Drama
1665.0,Phil Joanou,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,Crime Drama Sport,Gridiron Gang,Dwayne Johnson Jurnee Smollett-Bell Kevin Dunn Phil Joanou Crime Drama Sport
1666.0,Sam Weisman,Bernie Mac,Larry Miller,Richard Schiff,Comedy Crime,What's the Worst That Could Happen?,Bernie Mac Larry Miller Richard Schiff Sam Weisman Comedy Crime
1667.0,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,Action Adventure Animation Drama Mystery Sci-Fi Thriller,9,Martin Landau Alan Oppenheimer Tom Kane Shane Acker Action Adventure Animation Drama Mystery Sci-Fi Thriller
